,anomaly
3510436,0
3510437,0
3510438,0
3510439,0
3510441,0
3510442,0
3510447,0
3510462,0
3510469,0
3510470,0
3510471,0
3510473,0
3510474,0
3510475,0
3510477,0
3510490,0
3510501,0
3510503,0
3510504,0
3510508,0
3510511,0
3510512,0
3510513,0
3510514,0
3510517,0
3510522,0
3510524,0
3510525,0
3510528,0
3510529,0
3510533,0
3510540,0
3510541,0
3510542,0
3510546,0
3510549,0
3510555,0
3510556,0
3510558,0
3510564,0
3510569,0
3510571,0
3510575,0
3510581,0
3510584,0
3510585,0
3510598,0
3510606,0
3510608,0
3510609,0
3510612,0
3510618,0
3510619,0
3510621,0
3510623,0
3510626,0
3510627,1
3510632,0
3510634,0
3510637,0
3510640,0
3510642,0
3510644,0
3510646,0
3510647,0
3510648,0
3510649,0
3510652,0
3510654,0
3510659,1
3510660,0
3510661,1
3510663,0
3510664,0
3510665,1
3510666,0
3510672,0
3510679,0
3510684,0
3510688,0
3510691,0
3510692,0
3510693,0
3510697,0
3510711,0
3510713,0
3510714,0
3510715,0
3510716,0
3510717,0
3510718,0
3510719,0
3510720,0
3510721,0
3510725,0
3510726,0
3510727,0
3510730,0
3510731,0
3510735,0
3510736,0
3510739,0
3510747,0
3510769,0
3510770,0
3510772,0
3510774,0
3510776,0
3510777,0
3510778,0
3510779,0
3510781,0
3510782,0
3510783,0
3510784,0
3510790,0
3510791,0
3510792,0
3510793,0
3510803,0
3510804,0
3510805,0
3510811,0
3510813,0
3510814,0
3510816,0
3510817,0
3510819,0
3510821,0
3510823,0
3510824,0
3510826,0
3510828,0
3510833,0
3510836,0
3510837,0
3510840,0
3510841,0
3510842,0
3510844,0
3510845,0
3510846,0
3510847,0
3510848,0
3510849,0
3510854,0
3510856,0
3510861,0
3510864,0
3510866,1
3510876,0
3510877,0
3510881,0
3510885,0
3510889,0
3510892,0
3510893,0
3510894,0
3510896,0
3510898,0
3510899,0
3510900,0
3510911,0
3510912,0
3510913,0
3510914,0
3510915,0
3510916,0
3510917,0
3510919,0
3510920,0
3510923,0
3510924,0
3510925,0
3510926,0
3510927,0
3510929,0
3510931,0
3510933,1
3510934,0
3510936,0
3510937,0
3510938,0
3510939,0
3510940,0
3510941,0
3510946,0
3510950,0
3510951,0
3510954,0
3510955,0
3510956,0
3510959,0
3510963,0
3510964,0
3510966,0
3510974,0
3510976,0
3510977,0
3510978,0
3510981,0
3510983,0
3510984,0
3510986,0
3510987,0
3510988,0
3510989,0
3510994,0
3510999,0
3511000,0
3511001,0
3511002,0
3511003,0
3511015,0
3511018,0
3511019,0
3511020,0
3511021,0
3511023,0
3511024,0
3511025,0
3511028,0
3511031,0
3511033,0
3511034,0
3511037,0
3511038,0
3511039,0
3511052,0
3511054,0
3511064,0
3511065,0
3511066,0
3511071,0
3511072,0
3511074,0
3511075,0
3511076,0
3511095,0
3511102,0
3511103,0
3511105,0
3511107,0
3511109,0
3511113,0
3511115,0
3511117,1
3511118,0
3511120,0
3511124,0
3511129,0
3511131,0
3511137,0
3511140,0
3511142,0
3511143,0
3511149,0
3511151,0
3511155,0
3511156,0
3511157,0
3511159,0
3511160,0
3511161,0
3511162,0
3511164,0
3511165,0
3511171,0
3511172,0
3511178,0
3511180,0
3511181,0
3511184,0
3511189,0
3511190,0
3511193,0
3511195,0
3511201,0
3511206,0
3511208,0
3511213,0
3511214,0
3511215,0
3511217,0
3511218,0
3511219,0
3511220,0
3511222,0
3511223,0
3511224,0
3511225,0
3511226,0
3511229,0
3511231,0
3511236,0
3511237,0
3511242,0
3511246,0
3511248,0
3511249,0
3511268,0
3511272,0
3511275,0
3511276,0
3511279,0
3511281,0
3511282,0
3511283,0
3511285,0
3511287,0
3511288,0
3511290,0
3511291,0
3511292,0
3511293,0
3511294,0
3511295,0
3511297,0
3511298,0
3511299,0
3511300,0
3511301,0
3511302,0
3511303,0
3511305,0
3511306,0
3511307,0
3511308,0
3511310,0
3511311,0
3511314,0
3511315,0
3511316,0
3511317,0
3511318,0
3511319,0
3511320,0
3511321,0
3511323,0
3511324,0
3511325,0
3511326,0
3511327,0
3511328,0
3511329,0
3511334,0
3511335,0
3511336,0
3511337,0
3511338,0
3511339,0
3511340,0
3511341,0
3511344,0
3511345,0
3511346,0
3511347,0
3511348,0
3511349,0
3511350,0
3511351,0
3511352,0
3511353,0
3511355,0
3511356,0
3511357,0
3511358,0
3511361,0
3511362,0
3511363,0
3511364,0
3511366,0
3511367,0
3511368,0
3511371,0
3511374,0
3511378,0
3511380,0
3511382,0
3511383,0
3511387,0
3511394,0
3511401,0
3511402,0
3511405,0
3511410,0
3511411,0
3511412,0
3511413,0
3511414,0
3511415,0
3511416,0
3511418,0
3511419,0
3511421,0
3511425,0
3511426,0
3511427,0
3511428,0
3511429,0
3511430,0
3511431,0
3511435,0
3511438,0
3511439,0
3511441,0
3511442,0
3511443,0
3511444,0
3511445,0
3511446,0
3511450,0
3511451,0
3511453,0
3511455,0
3511457,0
3511469,0
3511470,0
3511471,0
3511472,0
3511474,0
3511478,0
3511481,0
3511491,0
3511492,1
3511495,0
3511501,0
3511502,0
3511503,0
3511507,0
3511508,0
3511509,0
3511512,0
3511513,0
3511514,0
3511515,0
3511517,0
3511522,0
3511526,0
3511533,0
3511534,0
3511536,0
3511537,0
3511538,0
3511539,0
3511542,0
3511544,0
3511545,0
3511550,0
3511558,0
3511559,0
3511560,0
3511563,0
3511568,0
3511572,0
3511573,0
3511588,0
3511596,0
3511600,0
3511607,0
3511608,0
3511609,0
3511613,0
3511614,0
3511617,0
3511618,0
3511624,0
3511628,0
3511632,0
3511635,0
3511650,0
3511663,0
3511680,0
3511697,0
3511709,0
3511720,0
3511723,0
3511724,0
3511737,0
3511742,0
3511750,0
3511754,0
3511756,0
3511758,0
3511759,0
3511765,0
3511767,0
3511769,0
3511771,0
3511772,0
3511775,0
3511782,0
3511785,0
3511786,0
3511789,0
3511792,0
3511793,0
3511794,0
3511795,0
3511796,0
3511799,0
3511800,0
3511803,0
3511808,0
3511809,0
3511811,0
3511815,0
3511816,0
3511817,0
3511820,0
3511821,0
3511823,0
3511825,0
3511835,0
3511836,0
3511837,0
3511841,0
3511843,0
3511845,0
3511850,0
3511851,0
3511852,0
3511859,0
3511860,0
3511861,0
3511862,0
3511863,0
3511864,0
3511868,0
3511869,0
3511875,1
3511876,0
3511877,0
3511878,0
3511879,0
3511880,0
3511882,0
3511883,0
3511889,0
3511895,0
3511899,0
3511900,0
3511901,0
3511902,0
3511904,0
3511905,0
3511907,0
3511908,0
3511909,0
3511910,0
3511911,0
3511912,0
3511922,0
3511923,0
3511924,0
3511926,0
3511928,0
3511929,0
3511930,0
3511935,0
3511936,0
3511937,0
3511938,0
3511939,0
3511941,0
3511942,0
3511944,0
3511945,0
3511949,1
3511950,1
3511951,0
3511952,0
3511953,0
3511954,0
3511956,0
3511957,0
3511958,0
3511960,0
3511961,0
3511962,0
3511966,0
3511967,1
3511969,0
3511970,0
3511972,0
3511977,0
3511981,0
3511982,0
3511986,0
3511989,0
3511994,0
3511998,0
3511999,0
3512002,0
3512003,0
3512004,0
3512005,0
3512009,0
3512014,0
3512015,0
3512017,0
3512022,0
3512023,0
3512025,0
3512027,0
3512029,0
3512031,0
3512032,0
3512033,0
3512038,0
3512041,0
3512044,0
3512047,0
3512049,0
3512052,0
3512054,0
3512055,0
3512057,0
3512058,0
3512059,0
3512060,0
3512061,0
3512063,0
3512064,0
3512065,0
3512066,0
3512070,0
3512071,0
3512072,0
3512074,0
3512075,0
3512077,0
3512078,0
3512079,0
3512083,0
3512084,1
3512085,0
3512089,0
3512090,0
3512091,0
3512092,1
3512095,1
3512097,1
3512098,0
3512099,0
3512100,0
3512103,0
3512104,0
3512105,0
3512106,1
3512110,0
3512111,0
3512112,1
3512113,0
3512115,0
3512116,1
3512120,0
3512121,0
3512123,1
3512124,0
3512131,0
3512132,0
3512133,0
3512134,0
3512136,0
3512137,0
3512142,0
3512145,0
3512146,0
3512149,0
3512152,0
3512153,0
3512155,0
3512156,0
3512157,0
3512159,0
3512161,0
3512162,0
3512168,0
3512170,0
3512175,0
3512181,0
3512182,0
3512183,0
3512184,0
3512185,0
3512191,0
3512197,0
3512199,0
3512201,0
3512206,0
3512209,0
3512210,0
3512214,0
3512226,0
3512227,0
3512229,0
3512230,0
3512231,0
3512235,0
3512237,0
3512240,0
3512259,0
3512260,0
3512264,0
3512278,0
3512279,0
3512281,0
3512282,0
3512285,0
3512291,0
3512292,0
3512295,0
3512297,0
3512299,0
3512301,0
3512305,0
3512306,0
3512309,0
3512310,0
3512311,0
3512313,0
3512314,0
3512315,0
3512318,0
3512320,0
3512321,1
